claim_id,policy_id,customer_id,loss_date,report_date,cause_of_loss,catastrophe_flag,first_line_of_address,county,state,zip_code,latitude,longitude,property_age,roof_age,roof_material,construction_type,square_footage,occupancy_type,property_value,policy_tenure_months,coverage_a_dwelling_flag,coverage_b_other_structures_flag,coverage_c_personal_property_flag,coverage_d_loss_of_use_flag,coverage_e_liability_flag,coverage_f_medical_payments_flag,coverage_a_limit,coverage_b_limit,coverage_c_limit,coverage_d_limit,deductible,annual_premium,policy_form,prior_claim_count_3yr,prior_total_paid_3yr,prior_same_cause_claim_count,prior_litigated_claim_count,initial_reserve,initial_estimate,days_to_first_inspection,inspection_completed_30_days,complaint_flag_30_days,litigated
CLM00001,POL00001,CUS00001,2022-02-07,2022-02-14,Vandalism,0,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,18,18,Flat/TPO,Masonry,3285,Owner Occupied,1206000,93,1,1,1,1,1,1,1239000,132000,640000,243000,1500,8020,HO3,0,0,1,0,5900,6900,7,1,0,0
CLM00002,POL00002,CUS00002,2023-02-14,2023-02-14,Wind,0,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,13,12,Flat/TPO,Masonry Veneer,4231,Owner Occupied,880000,68,1,1,1,1,1,1,684000,83000,321000,192000,2000,6280,HO3,3,220200,2,1,15800,18000,6,1,0,1
CLM00003,POL00003,CUS00003,2025-05-15,2025-05-20,Water,0,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,53,4,Tile,Masonry Veneer,4286,Secondary Residence,680000,181,1,1,1,1,0,0,594000,82000,330000,148000,1500,3150,DP3,0,0,1,1,34300,34200,11,1,0,1
CLM00004,POL00004,CUS00004,2023-12-19,2023-12-19,Vandalism,0,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,37,2,Concrete Tile,Reinforced Concrete,2200,Owner Occupied,297000,173,1,1,1,1,1,1,283000,32000,135000,83000,2500,5170,HO3,2,117600,2,1,16600,15700,13,1,0,0
CLM00005,POL00005,CUS00005,2024-06-07,2024-06-08,Theft,0,2901 NE 1st Ave,Miami-Dade,FL,33137,25.802168,-80.187402,52,10,Concrete Tile,Masonry,4056,Secondary Residence,317000,79,1,1,1,1,1,1,281000,33000,182000,57000,1500,3930,HO6,2,95700,2,1,39400,20800,8,1,0,0
CLM00006,POL00006,CUS00006,2024-10-10,2024-10-12,Wind,1,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,13,13,Flat/TPO,Concrete Block,4262,Owner Occupied,242000,54,1,1,1,1,1,1,235000,19000,109000,49000,1500,2080,HO3,0,0,0,0,52800,49300,17,1,1,0
CLM00007,POL00007,CUS00007,2025-10-09,2025-10-28,Fire,0,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,3,3,Tile,Masonry Veneer,970,Owner Occupied,378000,133,1,1,1,1,1,1,380000,37000,257000,113000,1000,3040,HO3,1,20700,1,0,149000,121900,7,1,0,1
CLM00008,POL00008,CUS00008,2024-02-24,2024-02-25,Fire,0,452 NE 31st St,Miami-Dade,FL,33137,25.805582,-80.194716,25,10,Metal,Concrete Block,1804,Owner Occupied,950000,61,1,1,1,1,1,1,770000,75000,360000,170000,2500,7560,HO3,1,102200,1,0,135600,134000,18,1,1,0
CLM00009,POL00009,CUS00009,2022-02-08,2022-02-09,Wind,0,2901 NE 1st Ave,Miami-Dade,FL,33137,25.802168,-80.187402,30,12,Metal,Masonry Veneer,2886,Secondary Residence,363000,158,1,1,1,1,1,1,360000,46000,181000,103000,7500,4700,HO3,0,0,0,0,11000,25500,16,1,0,0
CLM00010,POL00010,CUS00010,2024-02-09,2024-03-14,Fire,0,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,17,17,Flat/TPO,Frame,2888,Owner Occupied,954000,155,1,1,1,1,1,1,809000,73000,392000,159000,1000,5980,HO3,0,0,1,0,63800,53200,3,1,0,0
CLM00011,POL00011,CUS00011,2022-06-21,2022-06-29,Water,0,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,66,6,Tile,Masonry,1404,Owner Occupied,924000,171,1,1,1,1,1,1,903000,127000,427000,235000,7500,9310,HO5,1,81400,1,0,43700,35800,11,1,0,0
CLM00012,POL00012,CUS00012,2023-07-18,2023-07-25,Theft,0,452 NE 31st St,Miami-Dade,FL,33137,25.805582,-80.194716,62,23,Tile,Reinforced Concrete,1606,Owner Occupied,1016000,28,1,1,1,1,1,1,936000,112000,472000,207000,7500,7760,HO5,2,110500,2,0,17300,20000,17,1,0,0
CLM00013,POL00013,CUS00013,2023-07-11,2023-07-11,Vandalism,0,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,63,2,Tile,Frame,2760,Tenant Occupied,254000,6,1,1,1,1,1,1,255000,34000,147000,66000,10000,3170,HO5,1,10700,2,1,21200,17700,17,1,0,0
CLM00014,POL00014,CUS00014,2024-07-12,2024-07-15,Wind,0,452 NE 31st St,Miami-Dade,FL,33137,25.805582,-80.194716,49,8,Asphalt Shingle,Reinforced Concrete,1285,Owner Occupied,625000,181,1,1,1,1,1,1,567000,69000,378000,110000,10000,2660,HO3,0,0,0,0,15400,16600,12,1,1,0
CLM00015,POL00015,CUS00015,2023-08-10,2023-08-12,Freeze,0,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,72,12,Concrete Tile,Masonry Veneer,928,Owner Occupied,857000,50,1,0,1,1,1,1,797000,0,485000,236000,1500,3530,HO3,0,0,0,0,28900,34000,4,1,0,0
CLM00016,POL00016,CUS00016,2025-12-02,2025-12-07,Lightning,0,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,60,12,Asphalt Shingle,Concrete Block,1123,Owner Occupied,692000,48,1,1,1,1,1,1,550000,78000,261000,90000,5000,3160,HO6,2,126100,1,0,43800,36000,16,1,0,0
CLM00017,POL00017,CUS00017,2022-11-05,2022-11-14,Hail,0,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,33,25,Asphalt Shingle,Concrete Block,1800,Owner Occupied,1192000,180,1,1,1,1,1,1,997000,132000,549000,268000,5000,6230,HO5,1,76700,0,0,12300,12300,11,1,0,0
CLM00018,POL00018,CUS00018,2025-05-19,2025-05-26,Hail,0,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,38,27,Tile,Reinforced Concrete,2423,Tenant Occupied,368000,55,1,1,1,1,1,1,307000,26000,172000,62000,5000,7550,HO3,0,0,1,0,24000,22700,2,1,0,0
CLM00019,POL00019,CUS00019,2024-03-30,2024-04-08,Freeze,0,452 NE 31st St,Miami-Dade,FL,33137,25.805582,-80.194716,41,24,Metal,Concrete Block,2371,Owner Occupied,1051000,110,1,0,1,1,1,1,985000,0,485000,230000,2500,3620,HO3,0,0,0,0,16300,14100,16,1,0,0
CLM00020,POL00020,CUS00020,2022-11-30,2023-01-16,Water,0,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,8,8,Flat/TPO,Masonry,2763,Owner Occupied,1076000,6,1,1,1,1,1,1,945000,78000,468000,147000,1000,2940,HO6,0,0,1,0,16300,19700,5,1,0,0
CLM00021,POL00021,CUS00021,2022-12-25,2023-01-03,Hail,0,452 NE 31st St,Miami-Dade,FL,33137,25.805582,-80.194716,7,7,Concrete Tile,Reinforced Concrete,3091,Owner Occupied,419000,102,1,1,1,1,1,1,342000,30000,171000,85000,2500,9110,HO3,0,0,0,0,45300,43500,11,1,0,0
CLM00022,POL00022,CUS00022,2024-03-18,2024-03-18,Wind,0,2901 NE 1st Ave,Miami-Dade,FL,33137,25.802168,-80.187402,45,9,Metal,Frame,1323,Owner Occupied,478000,156,1,1,1,1,1,1,350000,36000,233000,54000,1000,6140,HO3,1,18300,1,0,35400,31500,9,1,0,0
CLM00023,POL00023,CUS00023,2025-02-16,2025-02-25,Vandalism,0,452 NE 31st St,Miami-Dade,FL,33137,25.805582,-80.194716,20,17,Tile,Concrete Block,3375,Owner Occupied,838000,181,1,1,1,1,1,1,757000,103000,415000,153000,7500,2320,HO3,1,43200,0,0,29400,29000,13,1,1,0
CLM00024,POL00024,CUS00024,2024-12-13,2024-12-16,Wind,0,2901 NE 1st Ave,Miami-Dade,FL,33137,25.802168,-80.187402,21,21,Flat/TPO,Frame,4347,Owner Occupied,282000,180,1,1,1,1,1,1,261000,29000,157000,53000,2500,5890,HO5,0,0,0,0,34200,33800,13,1,0,0
CLM00025,POL00025,CUS00025,2025-09-19,2025-09-24,Hail,0,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,18,18,Flat/TPO,Reinforced Concrete,3868,Owner Occupied,844000,160,1,1,1,1,1,1,649000,76000,327000,98000,2000,5650,HO3,1,81800,0,0,11900,11300,1,1,0,0
CLM00026,POL00026,CUS00026,2023-03-28,2023-04-05,Water,0,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,36,22,Tile,Masonry,4017,Owner Occupied,519000,85,1,1,1,1,1,1,424000,63000,264000,72000,5000,3020,HO3,1,51600,0,0,7600,9100,4,1,1,0
CLM00027,POL00027,CUS00027,2024-02-24,2024-02-25,Wind,0,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,23,3,Metal,Frame,3230,Owner Occupied,593000,92,1,1,1,1,1,1,588000,59000,348000,135000,2000,6670,HO6,0,0,3,0,51800,46900,7,1,0,0
CLM00028,POL00028,CUS00028,2024-06-02,2024-06-11,Wind,0,2901 NE 1st Ave,Miami-Dade,FL,33137,25.802168,-80.187402,43,20,Concrete Tile,Frame,931,Owner Occupied,1293000,76,1,1,1,1,1,1,1172000,117000,730000,294000,1500,5990,HO3,1,49900,0,0,42700,34800,9,1,1,1
CLM00029,POL00029,CUS00029,2023-05-12,2023-05-16,Vandalism,0,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,69,10,Metal,Frame,1350,Owner Occupied,1027000,114,1,1,1,1,1,1,917000,86000,602000,259000,7500,3700,HO3,1,123100,1,0,18200,15700,11,1,0,0
CLM00030,POL00030,CUS00030,2023-11-14,2023-12-05,Lightning,0,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,49,14,Asphalt Shingle,Masonry Veneer,1192,Owner Occupied,691000,106,1,1,1,1,1,1,543000,56000,259000,120000,2500,7430,HO5,2,71000,0,1,12500,15000,11,1,0,1
CLM00031,POL00031,CUS00031,2023-08-29,2023-08-30,Wind,0,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,34,5,Concrete Tile,Frame,1390,Owner Occupied,697000,179,1,1,1,1,1,1,548000,75000,325000,129000,2500,4060,HO3,0,0,0,0,59900,56100,9,1,0,0
CLM00032,POL00032,CUS00032,2022-07-26,2022-07-30,Hail,0,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,47,7,Asphalt Shingle,Frame,2355,Owner Occupied,435000,159,1,1,1,1,1,0,395000,54000,267000,118000,2000,3280,DP3,5,260000,1,1,10400,9800,6,1,0,0
CLM00033,POL00033,CUS00033,2023-10-19,2023-10-22,Water,0,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,4,4,Flat/TPO,Concrete Block,3757,Owner Occupied,1206000,59,1,1,1,1,1,1,1054000,96000,607000,191000,2500,9190,HO6,2,121600,0,0,96500,42400,2,1,0,0
CLM00034,POL00034,CUS00034,2024-11-29,2024-12-01,Wind,0,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,13,13,Metal,Frame,4350,Secondary Residence,973000,46,1,1,1,1,1,1,740000,100000,402000,154000,7500,5980,HO6,3,210900,3,1,35000,29600,8,1,0,0
CLM00035,POL00035,CUS00035,2024-12-25,2024-12-30,Water,0,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,50,1,Asphalt Shingle,Concrete Block,3968,Owner Occupied,1064000,145,1,1,1,1,1,1,966000,121000,657000,264000,5000,4880,HO3,3,168800,2,0,20400,16400,18,1,1,1
CLM00036,POL00036,CUS00036,2024-01-21,2024-01-24,Hurricane,0,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,11,11,Flat/TPO,Masonry,4500,Tenant Occupied,1145000,189,1,1,1,1,1,0,897000,119000,558000,244000,7500,5230,DP3,1,80100,0,0,13700,15500,6,1,0,1
CLM00037,POL00037,CUS00037,2022-04-05,2022-04-05,Wind,0,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,15,15,Asphalt Shingle,Reinforced Concrete,2974,Owner Occupied,487000,107,1,1,1,1,1,1,474000,63000,289000,106000,10000,6100,HO3,3,149800,0,0,11800,10300,18,1,0,0
CLM00038,POL00038,CUS00038,2023-06-22,2023-06-27,Fire,0,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,46,20,Metal,Masonry Veneer,1158,Owner Occupied,285000,37,1,1,1,1,1,1,271000,36000,134000,58000,1500,7390,HO3,1,58200,1,0,143500,159200,6,1,0,0
CLM00039,POL00039,CUS00039,2023-03-28,2023-04-01,Hurricane,0,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,66,31,Asphalt Shingle,Frame,1707,Secondary Residence,1438000,6,1,1,1,1,1,1,1241000,149000,775000,211000,2000,6710,HO3,0,0,0,0,96100,119400,5,1,0,0
CLM00040,POL00040,CUS00040,2022-10-16,2022-10-24,Hail,0,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,58,26,Metal,Masonry,4178,Owner Occupied,673000,142,1,1,1,1,1,1,492000,73000,276000,104000,10000,8890,HO6,2,36000,1,0,24800,20200,15,1,0,0
CLM00041,POL00041,CUS00041,2024-05-15,2024-05-30,Freeze,0,452 NE 31st St,Miami-Dade,FL,33137,25.805582,-80.194716,34,10,Asphalt Shingle,Frame,1517,Owner Occupied,364000,118,1,1,1,1,1,1,345000,48000,204000,56000,2500,2470,HO6,0,0,1,0,5400,6500,17,1,0,0
CLM00042,POL00042,CUS00042,2024-10-09,2024-10-13,Wind,1,3131 NE 1st Ave,Miami-Dade,FL,33137,25.807112,-80.193906,54,2,Asphalt Shingle,Concrete Block,3539,Owner Occupied,409000,8,1,1,1,1,1,1,299000,36000,140000,61000,10000,7560,HO3,1,25400,1,0,111400,49000,13,1,1,0
CLM00043,POL00043,CUS00043,2022-06-02,2022-06-07,Wind,0,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,26,22,Metal,Frame,2139,Owner Occupied,1238000,176,1,1,1,1,1,1,1133000,149000,696000,256000,5000,6960,HO6,0,0,0,0,43800,46100,6,1,0,0
CLM00044,POL00044,CUS00044,2022-12-08,2022-12-11,Wind,0,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,60,8,Concrete Tile,Concrete Block,2242,Secondary Residence,358000,182,1,1,1,1,1,1,300000,31000,146000,80000,2500,6860,HO6,3,137800,2,0,26700,22700,12,1,1,1
CLM00045,POL00045,CUS00045,2024-03-24,2024-05-04,Water,0,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,47,11,Concrete Tile,Masonry,2085,Owner Occupied,810000,102,1,1,1,1,1,1,618000,75000,306000,94000,5000,8280,HO3,2,51400,0,1,14800,43900,18,1,0,1
CLM00046,POL00046,CUS00046,2024-10-08,2024-10-12,Hurricane,1,3131 NE 1st Ave,Miami-Dade,FL,33137,25.807112,-80.193906,22,22,Flat/TPO,Masonry,1776,Owner Occupied,1398000,151,1,1,1,1,1,1,1043000,122000,591000,286000,2500,6640,HO3,1,30700,0,0,89800,82900,7,1,0,0
CLM00047,POL00047,CUS00047,2022-12-23,2022-12-29,Wind,0,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,75,25,Concrete Tile,Concrete Block,2350,Owner Occupied,1309000,142,1,1,1,1,1,1,1030000,103000,470000,259000,1500,4800,HO3,1,105200,1,0,18500,9900,11,1,0,1
CLM00048,POL00048,CUS00048,2025-11-24,2025-12-14,Hurricane,0,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,39,31,Flat/TPO,Masonry Veneer,3853,Owner Occupied,1047000,149,1,1,1,1,1,1,1023000,103000,530000,243000,7500,7590,HO3,0,0,0,0,45500,37600,9,1,0,0
CLM00049,POL00049,CUS00049,2022-06-15,2022-06-24,Theft,0,452 NE 31st St,Miami-Dade,FL,33137,25.805582,-80.194716,33,22,Concrete Tile,Reinforced Concrete,2603,Owner Occupied,745000,125,1,1,1,1,1,1,701000,101000,321000,175000,5000,5840,HO3,2,155500,2,3,10100,10900,16,1,0,1
CLM00050,POL00050,CUS00050,2023-07-01,2023-07-06,Water,0,3131 NE 1st Ave,Miami-Dade,FL,33137,25.807112,-80.193906,40,32,Flat/TPO,Concrete Block,2475,Owner Occupied,799000,155,1,0,1,1,1,1,736000,0,406000,167000,1000,5660,HO3,1,68200,1,1,27700,30500,6,1,0,0
CLM00051,POL00051,CUS00051,2022-12-06,2023-01-17,Hurricane,0,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,20,20,Asphalt Shingle,Reinforced Concrete,3817,Owner Occupied,676000,46,1,1,1,1,0,1,555000,50000,273000,161000,7500,3780,DP3,2,66500,1,1,83400,81600,9,1,0,1
CLM00052,POL00052,CUS00052,2022-10-30,2022-11-02,Lightning,0,452 NE 31st St,Miami-Dade,FL,33137,25.805582,-80.194716,7,2,Concrete Tile,Frame,4244,Owner Occupied,649000,89,1,1,1,1,1,1,533000,62000,281000,159000,1500,8320,DP3,1,89000,1,0,30200,31800,8,1,0,0
CLM00053,POL00053,CUS00053,2024-11-13,2024-11-20,Fire,0,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,44,23,Concrete Tile,Reinforced Concrete,3791,Secondary Residence,698000,72,1,1,1,1,1,1,652000,84000,330000,168000,10000,6900,HO5,2,99400,0,0,111300,121600,11,1,1,0
CLM00054,POL00054,CUS00054,2024-10-05,2024-10-12,Lightning,0,452 NE 31st St,Miami-Dade,FL,33137,25.805582,-80.194716,46,23,Tile,Frame,4482,Owner Occupied,434000,85,1,1,1,1,1,1,329000,41000,208000,65000,5000,4300,HO5,2,97500,2,1,14700,11900,11,1,0,0
CLM00055,POL00055,CUS00055,2023-05-01,2023-06-19,Water,0,3131 NE 1st Ave,Miami-Dade,FL,33137,25.807112,-80.193906,75,5,Concrete Tile,Masonry,963,Owner Occupied,1328000,102,1,1,1,1,1,1,1200000,106000,612000,302000,2000,7540,HO5,3,175300,1,0,9100,5600,1,1,0,0
CLM00056,POL00056,CUS00056,2024-10-09,2024-10-16,Wind,1,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,59,9,Asphalt Shingle,Reinforced Concrete,1805,Owner Occupied,242000,153,1,1,1,1,1,1,178000,21000,117000,43000,1000,4740,HO6,1,30700,0,0,37200,30900,15,1,1,1
CLM00057,POL00057,CUS00057,2024-10-09,2024-10-17,Wind,1,3131 NE 1st Ave,Miami-Dade,FL,33137,25.807112,-80.193906,48,24,Asphalt Shingle,Concrete Block,1216,Owner Occupied,255000,121,1,1,1,1,0,0,230000,32000,114000,62000,7500,4470,DP3,0,0,1,0,47000,51400,17,1,0,0
CLM00058,POL00058,CUS00058,2022-08-11,2022-08-14,Hail,0,3131 NE 1st Ave,Miami-Dade,FL,33137,25.807112,-80.193906,44,22,Concrete Tile,Concrete Block,2568,Owner Occupied,267000,108,1,1,1,1,1,1,267000,39000,169000,65000,7500,8400,HO6,2,96400,2,1,18900,22100,9,1,0,0
CLM00059,POL00059,CUS00059,2024-09-01,2024-09-02,Hail,0,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,50,4,Tile,Frame,4381,Owner Occupied,709000,163,1,1,1,1,1,1,674000,99000,321000,160000,2000,2380,HO5,0,0,0,0,48600,38900,14,1,0,0
CLM00060,POL00060,CUS00060,2025-03-09,2025-03-13,Water,0,452 NE 31st St,Miami-Dade,FL,33137,25.805582,-80.194716,59,26,Metal,Masonry,1280,Owner Occupied,289000,115,1,1,1,1,0,0,271000,33000,155000,80000,2500,2240,DP3,2,53900,1,0,39100,46500,15,1,0,0
CLM00061,POL00061,CUS00061,2024-02-02,2024-02-11,Theft,0,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,44,22,Concrete Tile,Frame,4024,Owner Occupied,1209000,37,1,1,1,1,1,1,1145000,163000,580000,298000,1500,3950,HO3,0,0,0,0,10200,10500,18,1,0,0
CLM00062,POL00062,CUS00062,2025-12-13,2025-12-16,Hail,0,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,15,15,Flat/TPO,Concrete Block,4277,Tenant Occupied,931000,57,1,1,1,1,1,1,748000,82000,400000,197000,5000,8330,HO3,1,114900,0,1,64200,35500,17,1,0,1
CLM00063,POL00063,CUS00063,2024-05-09,2024-05-14,Water,0,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,5,5,Tile,Reinforced Concrete,3904,Secondary Residence,1262000,100,1,0,1,1,1,1,920000,0,563000,175000,2000,5710,HO5,0,0,0,0,39600,44200,18,1,0,0
CLM00064,POL00064,CUS00064,2025-05-20,2025-06-10,Wind,0,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,18,18,Metal,Masonry Veneer,1800,Owner Occupied,776000,162,1,1,1,1,1,1,566000,63000,264000,125000,1500,3910,HO5,3,168400,3,0,48000,43200,12,1,1,1
CLM00065,POL00065,CUS00065,2024-12-31,2025-01-06,Theft,0,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,50,2,Asphalt Shingle,Reinforced Concrete,2639,Owner Occupied,1104000,106,1,1,1,1,1,1,855000,85000,505000,227000,1000,3210,HO3,3,178800,2,1,25400,26500,4,1,0,0
CLM00066,POL00066,CUS00066,2022-10-31,2022-11-04,Fire,0,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,46,14,Flat/TPO,Masonry,2895,Owner Occupied,398000,34,1,1,1,1,1,1,393000,57000,205000,110000,1000,5790,HO5,2,197100,1,0,69300,38300,16,1,0,0
