customer_id,historical_claim_id,historical_policy_id,loss_date,report_date,cause_of_loss,first_line_of_address,county,state,zip_code,latitude,longitude,initial_estimate,total_paid,claim_duration_days,third_party_count,attorney_involved,public_adjuster_involved,litigated,claim_outcome
CUS00001,HCLM00001_01,HPOL00001_01,2018-08-12,2018-08-13,Vandalism,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,62600,59400,59,8,0,0,0,Paid
CUS00002,HCLM00002_01,HPOL00002_01,2021-11-07,2021-11-08,Wind,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,64500,112500,362,3,1,0,1,Litigated and Settled
CUS00002,HCLM00002_02,HPOL00002_02,2020-03-18,2020-03-30,Wind,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,8200,14600,99,10,0,0,0,Partially Paid
CUS00002,HCLM00002_03,HPOL00002_03,2021-03-24,2021-03-28,Hurricane,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,65200,93100,102,13,0,0,0,Withdrawn
CUS00003,HCLM00003_01,HPOL00003_01,2021-10-02,2021-10-14,Theft,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,56500,89600,27,10,0,0,1,Litigated and Adjudicated
CUS00003,HCLM00003_02,HPOL00003_02,2021-11-19,2021-11-23,Water,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,43900,63700,230,3,0,0,0,Settled
CUS00003,HCLM00003_03,HPOL00003_03,2020-11-01,2020-11-08,Lightning,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,36800,48000,145,11,0,0,0,Settled
CUS00003,HCLM00003_04,HPOL00003_04,2020-09-01,2020-09-12,Lightning,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,4400,7600,124,9,0,0,0,Closed Without Payment
CUS00004,HCLM00004_01,HPOL00004_01,2021-06-02,2021-06-15,Vandalism,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,77200,58400,305,11,0,1,1,Litigated and Settled
CUS00004,HCLM00004_02,HPOL00004_02,2022-07-31,2022-08-03,Vandalism,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,55200,59200,62,7,0,0,0,Settled
CUS00005,HCLM00005_01,HPOL00005_01,2021-10-10,2021-10-13,Fire,2901 NE 1st Ave,Miami-Dade,FL,33137,25.802168,-80.187402,65900,91200,46,11,0,0,0,Partially Paid
CUS00005,HCLM00005_02,HPOL00005_02,2022-06-01,2022-06-04,Theft,2901 NE 1st Ave,Miami-Dade,FL,33137,25.802168,-80.187402,4100,4500,228,3,1,0,1,Litigated and Settled
CUS00005,HCLM00005_03,HPOL00005_03,2019-12-28,2020-01-09,Hurricane,2901 NE 1st Ave,Miami-Dade,FL,33137,25.802168,-80.187402,58500,73100,58,4,0,0,0,Paid
CUS00005,HCLM00005_04,HPOL00005_04,2021-06-01,2021-06-15,Theft,2050 Jake St,Orange,FL,32814,28.560782,-81.32269,8500,6600,141,8,0,0,0,Withdrawn
CUS00007,HCLM00007_01,HPOL00007_01,2024-10-05,2024-10-07,Lightning,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,17200,20700,230,3,0,0,0,Withdrawn
CUS00007,HCLM00007_02,HPOL00007_02,2021-04-30,2021-05-06,Water,452 NE 31st St,Miami-Dade,FL,33137,25.805582,-80.194716,72300,112400,141,9,0,1,0,Denied
CUS00007,HCLM00007_03,HPOL00007_03,2021-08-23,2021-09-05,Fire,4301 Urbana Dr,Orange,FL,32837,28.394856,-81.424922,10400,15700,18,4,0,0,0,Paid
CUS00008,HCLM00008_01,HPOL00008_01,2020-07-30,2020-08-03,Fire,452 NE 31st St,Miami-Dade,FL,33137,25.805582,-80.194716,75300,58100,148,12,0,0,0,Paid
CUS00008,HCLM00008_02,HPOL00008_02,2022-01-21,2022-02-03,Hurricane,452 NE 31st St,Miami-Dade,FL,33137,25.805582,-80.194716,72200,102200,114,8,0,0,0,Closed Without Payment
CUS00010,HCLM00010_01,HPOL00010_01,2020-07-09,2020-07-15,Fire,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,58000,40800,111,8,0,0,0,Paid
CUS00011,HCLM00011_01,HPOL00011_01,2021-09-21,2021-10-02,Water,101 W Beach Pl,Hillsborough,FL,33606,27.939852,-82.48549,48700,81400,230,8,0,0,0,Paid
CUS00012,HCLM00012_01,HPOL00012_01,2020-08-03,2020-08-04,Theft,110 Zora Pl,Orange,FL,32810,28.615406,-81.425066,60600,67200,123,6,0,0,0,Withdrawn
CUS00012,HCLM00012_02,HPOL00012_02,2020-10-01,2020-10-13,Fire,2828 NW 1st Ave,Miami-Dade,FL,33127,25.79715,-80.197564,32300,43300,133,12,1,1,0,Withdrawn
CUS00012,HCLM00012_03,HPOL00012_03,2018-08-15,2018-08-25,Theft,452 NE 31st St,Miami-Dade,FL,33137,25.805582,-80.194716,71000,91400,69,4,0,0,0,Settled
CUS00012,HCLM00012_04,HPOL00012_04,2019-12-31,2020-01-03,Fire,710 NE 1st Ave,Miami-Dade,FL,33132,25.783848,-80.189314,14100,20100,139,3,0,0,0,Closed Without Payment
CUS00013,HCLM00013_01,HPOL00013_01,2021-06-11,2021-06-16,Vandalism,110 Zora Pl,Orange,FL,32810,28.615406,-81.425066,7300,10700,38,12,0,0,0,Withdrawn
CUS00013,HCLM00013_02,HPOL00013_02,2019-08-27,2019-09-04,Vandalism,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,14200,13900,46,10,0,0,1,Litigated and Adjudicated
CUS00016,HCLM00016_01,HPOL00016_01,2025-06-28,2025-07-11,Hail,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,31600,51500,197,4,0,0,0,Partially Paid
CUS00016,HCLM00016_02,HPOL00016_02,2021-03-30,2021-03-31,Lightning,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,60000,57300,22,12,0,0,0,Paid
CUS00016,HCLM00016_03,HPOL00016_03,2025-01-08,2025-01-13,Hurricane,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,68800,74600,88,12,0,0,0,Denied
CUS00017,HCLM00017_01,HPOL00017_01,2021-12-06,2021-12-20,Theft,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,79800,76700,148,4,0,1,0,Partially Paid
CUS00018,HCLM00018_01,HPOL00018_01,2021-04-09,2021-04-19,Hail,8733 Rooks Park Cir,Hillsborough,FL,33619,27.936594,-82.36584,52300,94000,178,6,1,0,0,Denied
CUS00020,HCLM00020_01,HPOL00020_01,2018-02-01,2018-02-06,Water,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,34500,31600,60,12,1,0,0,Settled
CUS00022,HCLM00022_01,HPOL00022_01,2022-02-10,2022-02-14,Wind,2901 NE 1st Ave,Miami-Dade,FL,33137,25.802168,-80.187402,17900,18300,128,9,0,1,0,Withdrawn
CUS00022,HCLM00022_02,HPOL00022_02,2021-02-14,2021-02-15,Theft,2901 NE 1st Ave,Miami-Dade,FL,33137,25.802168,-80.187402,70200,114100,111,13,0,0,0,Withdrawn
CUS00023,HCLM00023_01,HPOL00023_01,2021-02-24,2021-03-09,Theft,452 NE 31st St,Miami-Dade,FL,33137,25.805582,-80.194716,32300,53000,66,11,0,0,0,Settled
CUS00023,HCLM00023_02,HPOL00023_02,2022-09-13,2022-09-25,Water,4301 Urbana Dr,Orange,FL,32837,28.394856,-81.424922,41100,43200,149,6,0,0,0,Withdrawn
CUS00024,HCLM00024_01,HPOL00024_01,2021-02-08,2021-02-14,Lightning,355 N Rosalind Ave,Orange,FL,32801,28.545514,-81.378134,78900,133900,45,3,0,0,0,Settled
CUS00024,HCLM00024_02,HPOL00024_02,2020-08-08,2020-08-21,Freeze,9200 Randal Park Blvd,Orange,FL,32832,28.412212,-81.243592,10500,16800,78,11,0,0,0,Closed Without Payment
CUS00025,HCLM00025_01,HPOL00025_01,2023-08-09,2023-08-13,Fire,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,47600,81800,65,4,0,1,0,Settled
CUS00026,HCLM00026_01,HPOL00026_01,2022-07-17,2022-07-23,Theft,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,56200,51600,223,12,1,1,0,Settled
CUS00027,HCLM00027_01,HPOL00027_01,2020-09-20,2020-09-22,Theft,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,17000,16000,138,5,0,1,0,Closed Without Payment
CUS00027,HCLM00027_02,HPOL00027_02,2019-10-21,2019-10-27,Wind,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,79800,129200,155,13,0,1,0,Partially Paid
CUS00027,HCLM00027_03,HPOL00027_03,2019-09-01,2019-09-01,Wind,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,76100,106600,30,7,0,0,0,Withdrawn
CUS00027,HCLM00027_04,HPOL00027_04,2020-07-07,2020-07-14,Wind,4301 Urbana Dr,Orange,FL,32837,28.394856,-81.424922,4400,5300,93,5,0,0,0,Partially Paid
CUS00028,HCLM00028_01,HPOL00028_01,2023-07-22,2023-07-28,Water,2901 NE 1st Ave,Miami-Dade,FL,33137,25.802168,-80.187402,29600,49900,187,13,0,0,0,Withdrawn
CUS00028,HCLM00028_02,HPOL00028_02,2020-04-04,2020-04-11,Lightning,2901 NE 1st Ave,Miami-Dade,FL,33137,25.802168,-80.187402,16500,18100,83,13,0,0,0,Paid
CUS00028,HCLM00028_03,HPOL00028_03,2020-06-03,2020-06-17,Vandalism,2901 NE 1st Ave,Miami-Dade,FL,33137,25.802168,-80.187402,25300,24200,71,13,0,1,0,Denied
CUS00029,HCLM00029_01,HPOL00029_01,2022-05-01,2022-05-03,Hurricane,2050 Jake St,Orange,FL,32814,28.560782,-81.32269,77700,123100,84,6,0,1,0,Withdrawn
CUS00029,HCLM00029_02,HPOL00029_02,2019-07-23,2019-07-30,Vandalism,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,47100,50000,228,3,0,0,0,Partially Paid
CUS00030,HCLM00030_01,HPOL00030_01,2023-04-07,2023-04-07,Hurricane,2633 Azalea Garden Pl,Hillsborough,FL,33619,27.938868,-82.369974,38200,29200,136,13,0,0,0,Paid
CUS00030,HCLM00030_02,HPOL00030_02,2021-07-29,2021-08-07,Vandalism,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,34300,41800,551,5,1,0,1,Litigated and Settled
CUS00032,HCLM00032_01,HPOL00032_01,2019-10-27,2019-11-06,Hurricane,5009 Park Central Dr,Orange,FL,32839,28.48606,-81.403886,27900,27200,144,12,1,0,0,Partially Paid
CUS00032,HCLM00032_02,HPOL00032_02,2021-12-31,2022-01-13,Vandalism,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,57600,67000,404,8,0,0,1,Litigated and Settled
CUS00032,HCLM00032_03,HPOL00032_03,2020-09-18,2020-10-01,Freeze,410 N Orange Ave,Orange,FL,32801,28.538032,-81.373544,44300,34000,109,5,1,0,0,Closed Without Payment
CUS00032,HCLM00032_04,HPOL00032_04,2019-08-16,2019-08-26,Fire,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,76600,67900,150,8,0,0,0,Partially Paid
CUS00032,HCLM00032_05,HPOL00032_05,2020-08-25,2020-08-30,Hail,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,35700,63900,50,3,0,0,0,Closed Without Payment
CUS00033,HCLM00033_01,HPOL00033_01,2021-08-13,2021-08-21,Hail,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,30300,25000,131,13,0,0,0,Closed Without Payment
CUS00033,HCLM00033_02,HPOL00033_02,2022-11-07,2022-11-20,Theft,520 E Church St,Orange,FL,32801,28.542388,-81.368972,68200,96600,145,12,0,0,0,Closed Without Payment
CUS00033,HCLM00033_03,HPOL00033_03,2019-01-12,2019-01-15,Theft,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,57600,90600,212,7,0,1,0,Settled
CUS00034,HCLM00034_01,HPOL00034_01,2023-01-04,2023-01-07,Hail,921 N Central Ave,Hillsborough,FL,33602,27.95189,-82.4639,68500,89700,125,4,0,0,1,Litigated and Adjudicated
CUS00034,HCLM00034_02,HPOL00034_02,2022-11-22,2022-12-02,Wind,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,46800,63100,19,4,0,1,0,Withdrawn
CUS00034,HCLM00034_03,HPOL00034_03,2022-04-09,2022-04-14,Wind,9505 Axis Way,Orange,FL,32837,28.396944,-81.417614,71600,58100,106,5,0,0,0,Closed Without Payment
CUS00034,HCLM00034_04,HPOL00034_04,2020-10-16,2020-10-30,Wind,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,40600,52800,119,9,1,0,0,Denied
CUS00035,HCLM00035_01,HPOL00035_01,2023-07-06,2023-07-16,Water,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,63300,109000,109,9,0,1,0,Paid
CUS00035,HCLM00035_02,HPOL00035_02,2024-07-27,2024-08-03,Water,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,63200,48800,152,7,0,1,0,Paid
