policy_id,customer_id,policy_effective_date,policy_expiration_date,policy_form,policy_status,annual_premium,deductible,wind_hail_deductible,hurricane_deductible,coverage_a_dwelling_flag,coverage_a_limit,coverage_b_other_structures_flag,coverage_b_limit,coverage_c_personal_property_flag,coverage_c_limit,coverage_d_loss_of_use_flag,coverage_d_limit,coverage_e_liability_flag,coverage_e_limit,coverage_f_medical_payments_flag,coverage_f_limit,first_line_of_address,county,state,zip_code,latitude,longitude,occupancy_type,property_value,property_age,roof_age,roof_material,construction_type,square_footage
POL00001,CUS00001,2014-05-10,2022-08-05,HO3,Active,8020,1500,7500,62000,1,1239000,1,132000,1,640000,1,243000,1,500000,1,10000,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,Owner Occupied,1206000,18,18,Flat/TPO,Masonry,3285
POL00002,CUS00002,2017-06-16,2023-06-08,HO3,Active,6280,2000,2500,13700,1,684000,1,83000,1,321000,1,192000,1,300000,1,5000,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,Owner Occupied,880000,13,12,Flat/TPO,Masonry Veneer,4231
POL00003,CUS00003,2010-04-15,2025-07-19,DP3,Active,3150,1500,5000,29700,1,594000,1,82000,1,330000,1,148000,0,0,0,0,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,Secondary Residence,680000,53,4,Tile,Masonry Veneer,4286
POL00004,CUS00004,2009-07-19,2024-05-20,HO3,Active,5170,2500,5000,14200,1,283000,1,32000,1,135000,1,83000,1,500000,1,1000,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,Owner Occupied,297000,37,2,Concrete Tile,Reinforced Concrete,2200
POL00005,CUS00005,2017-11-07,2024-12-09,HO6,Active,3930,1500,5000,14000,1,281000,1,33000,1,182000,1,57000,1,100000,1,10000,2901 NE 1st Ave,Miami-Dade,FL,33137,25.802168,-80.187402,Secondary Residence,317000,52,10,Concrete Tile,Masonry,4056
POL00006,CUS00006,2020-04-11,2025-04-11,HO3,Active,2080,1500,5000,4700,1,235000,1,19000,1,109000,1,49000,1,300000,1,2500,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,Owner Occupied,242000,13,13,Flat/TPO,Concrete Block,4262
POL00007,CUS00007,2014-09-09,2025-11-10,HO3,Active,3040,1000,7500,7600,1,380000,1,37000,1,257000,1,113000,1,100000,1,10000,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,Owner Occupied,378000,3,3,Tile,Masonry Veneer,970
POL00008,CUS00008,2019-01-25,2024-11-13,HO3,Active,7560,2500,2500,38500,1,770000,1,75000,1,360000,1,170000,1,300000,1,1000,452 NE 31st St,Miami-Dade,FL,33137,25.805582,-80.194716,Owner Occupied,950000,25,10,Metal,Concrete Block,1804
POL00009,CUS00009,2008-12-09,2023-01-23,HO3,Active,4700,7500,7500,10800,1,360000,1,46000,1,181000,1,103000,1,100000,1,1000,2901 NE 1st Ave,Miami-Dade,FL,33137,25.802168,-80.187402,Secondary Residence,363000,30,12,Metal,Masonry Veneer,2886
POL00010,CUS00010,2011-03-11,2024-05-19,HO3,Active,5980,1000,7500,24300,1,809000,1,73000,1,392000,1,159000,1,500000,1,2500,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,Owner Occupied,954000,17,17,Flat/TPO,Frame,2888
POL00011,CUS00011,2008-03-21,2023-01-19,HO5,Active,9310,7500,7500,18100,1,903000,1,127000,1,427000,1,235000,1,500000,1,2500,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,Owner Occupied,924000,66,6,Tile,Masonry,1404
POL00012,CUS00012,2021-03-18,2023-10-28,HO5,Active,7760,7500,7500,28100,1,936000,1,112000,1,472000,1,207000,1,300000,1,10000,452 NE 31st St,Miami-Dade,FL,33137,25.805582,-80.194716,Owner Occupied,1016000,62,23,Tile,Reinforced Concrete,1606
POL00013,CUS00013,2023-01-10,2023-12-10,HO5,Active,3170,10000,7500,5100,1,255000,1,34000,1,147000,1,66000,1,300000,1,10000,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,Tenant Occupied,254000,63,2,Tile,Frame,2760
POL00014,CUS00014,2009-06-12,2024-12-10,HO3,Active,2660,10000,7500,17000,1,567000,1,69000,1,378000,1,110000,1,500000,1,10000,452 NE 31st St,Miami-Dade,FL,33137,25.805582,-80.194716,Owner Occupied,625000,49,8,Asphalt Shingle,Reinforced Concrete,1285
POL00015,CUS00015,2019-06-10,2024-04-26,HO3,Active,3530,1500,1500,39800,1,797000,0,0,1,485000,1,236000,1,500000,1,10000,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,Owner Occupied,857000,72,12,Concrete Tile,Masonry Veneer,928
POL00016,CUS00016,2021-12-02,2026-03-20,HO6,Active,3160,5000,5000,27500,1,550000,1,78000,1,261000,1,90000,1,100000,1,2500,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,Owner Occupied,692000,60,12,Asphalt Shingle,Concrete Block,1123
POL00017,CUS00017,2007-11-05,2023-07-26,HO5,Active,6230,5000,2500,29900,1,997000,1,132000,1,549000,1,268000,1,300000,1,2500,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,Owner Occupied,1192000,33,25,Asphalt Shingle,Concrete Block,1800
POL00018,CUS00018,2020-10-18,2025-09-03,HO3,Active,7550,5000,5000,6100,1,307000,1,26000,1,172000,1,62000,1,500000,1,10000,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,Tenant Occupied,368000,38,27,Tile,Reinforced Concrete,2423
POL00019,CUS00019,2015-01-29,2024-09-26,HO3,Active,3620,2500,2500,49200,1,985000,0,0,1,485000,1,230000,1,500000,1,1000,452 NE 31st St,Miami-Dade,FL,33137,25.805582,-80.194716,Owner Occupied,1051000,41,24,Metal,Concrete Block,2371
POL00020,CUS00020,2022-06-01,2023-04-15,HO6,Active,2940,1000,1000,28400,1,945000,1,78000,1,468000,1,147000,1,500000,1,1000,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,Owner Occupied,1076000,8,8,Flat/TPO,Masonry,2763
POL00021,CUS00021,2014-06-26,2023-02-09,HO3,Active,9110,2500,10000,10300,1,342000,1,30000,1,171000,1,85000,1,100000,1,2500,452 NE 31st St,Miami-Dade,FL,33137,25.805582,-80.194716,Owner Occupied,419000,7,7,Concrete Tile,Reinforced Concrete,3091
POL00022,CUS00022,2011-03-19,2024-05-23,HO3,Active,6140,1000,5000,7000,1,350000,1,36000,1,233000,1,54000,1,300000,1,1000,2901 NE 1st Ave,Miami-Dade,FL,33137,25.802168,-80.187402,Owner Occupied,478000,45,9,Metal,Frame,1323
POL00023,CUS00023,2010-01-17,2025-08-05,HO3,Active,2320,7500,2500,22700,1,757000,1,103000,1,415000,1,153000,1,500000,1,1000,452 NE 31st St,Miami-Dade,FL,33137,25.805582,-80.194716,Owner Occupied,838000,20,17,Tile,Concrete Block,3375
POL00024,CUS00024,2009-12-13,2025-03-23,HO5,Active,5890,2500,2500,13000,1,261000,1,29000,1,157000,1,53000,1,300000,1,5000,2901 NE 1st Ave,Miami-Dade,FL,33137,25.802168,-80.187402,Owner Occupied,282000,21,21,Flat/TPO,Frame,4347
POL00025,CUS00025,2012-05-20,2026-07-17,HO3,Active,5650,2000,2000,13000,1,649000,1,76000,1,327000,1,98000,1,100000,1,5000,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,Owner Occupied,844000,18,18,Flat/TPO,Reinforced Concrete,3868
POL00026,CUS00026,2016-02-26,2023-09-14,HO3,Active,3020,5000,5000,12700,1,424000,1,63000,1,264000,1,72000,1,100000,1,5000,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,Owner Occupied,519000,36,22,Tile,Masonry,4017
POL00027,CUS00027,2016-06-25,2024-07-12,HO6,Active,6670,2000,10000,11800,1,588000,1,59000,1,348000,1,135000,1,300000,1,10000,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,Owner Occupied,593000,23,3,Metal,Frame,3230
POL00028,CUS00028,2018-02-01,2024-12-09,HO3,Active,5990,1500,5000,58600,1,1172000,1,117000,1,730000,1,294000,1,500000,1,2500,2901 NE 1st Ave,Miami-Dade,FL,33137,25.802168,-80.187402,Owner Occupied,1293000,43,20,Concrete Tile,Frame,931
POL00029,CUS00029,2013-11-10,2024-04-26,HO3,Active,3700,7500,7500,45800,1,917000,1,86000,1,602000,1,259000,1,500000,1,1000,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,Owner Occupied,1027000,69,10,Metal,Frame,1350
